Label	ImageSource
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000030.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000031.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000032.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000033.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000034.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000035.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000036.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000037.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000038.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000039.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000040.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000041.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000042.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000043.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000044.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000045.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000046.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000047.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000048.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000049.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000050.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000051.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000052.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000053.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000054.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000055.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000056.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000057.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000058.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000059.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000060.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000061.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000062.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000063.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000064.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000065.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000066.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000067.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000068.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000069.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000070.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000071.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000072.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000073.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000074.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000075.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000076.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000077.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000078.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000079.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000080.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000081.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000082.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000083.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000084.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000085.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000086.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000087.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000088.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000089.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000090.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000091.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000092.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000093.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000094.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000095.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000096.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000097.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000098.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000099.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000100.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000101.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000102.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000103.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000104.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000105.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000106.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000107.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000108.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000109.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000110.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000111.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000112.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000113.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000114.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000115.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000116.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000117.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000118.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000119.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000120.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000121.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000122.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000123.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000124.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000125.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000126.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000127.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000128.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000129.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000130.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000131.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000132.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000133.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000134.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000135.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000136.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000137.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000138.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000139.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000140.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000141.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000142.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000143.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000144.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000145.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000146.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000147.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000148.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000149.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000150.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000151.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000152.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000153.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000154.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000155.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000156.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000157.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000158.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000159.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000160.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000161.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000162.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000163.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000164.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000165.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000166.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000167.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000168.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000169.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000170.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000171.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000172.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000173.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000174.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000175.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000176.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000177.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000178.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000179.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000180.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000181.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000182.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000183.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000184.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000185.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000186.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000187.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000188.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000189.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000190.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000191.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000192.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000193.jpg
